Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
M6H10-4,8160,458,478,283,297,15.81,738.106461,117.68402,0.2703,0.2797
M7H1-1,8904,61,34,331,346,21.03,817.42694,127.04122,0.2425,0.2504
M7H1-2,8903,42,54,326,351,21.29,816.198227,127.27565,0.2463,0.2533
M7H1-3,8903,49,47,326,351,21.75,818.276729,127.0272,0.2416,0.2474
M7H1-4,8903,38,58,326,351,21.07,822.388132,125.77134,0.2395,0.2535
M7H2-1,8806,111,82,333,344,20.75,807.397566,125.96142,0.2464,0.2665
M7H2-2,8807,87,105,356,321,20.46,808.156954,124.97643,0.2409,0.2533
M7H2-3,8806,88,105,331,346,19.71,800.859838,126.67942,0.2565,0.2734
M7H2-4,8807,105,87,333,344,20.60,809.143406,125.71702,0.2437,0.2779
M7H3-1,8711,163,125,338,339,19.68,798.683477,123.68813,0.2424,0.257
M7H3-2,8710,138,151,345,332,20.14,798.94144,122.96347,0.2414,0.274
M7H3-3,8711,146,142,350,327,19.72,802.133925,123.35779,0.245,0.2527
M7H3-4,8711,154,134,338,339,18.66,793.139812,125.11786,0.2451,0.2569
M7H4-1,8614,206,179,326,351,18.69,785.851819,123.54697,0.249,0.2584
M7H4-2,8614,200,185,325,352,18.41,788.743003,120.84041,0.2418,0.2531
M7H4-3,8614,194,191,329,348,17.43,790.853932,124.38781,0.2864,0.2921
M7H4-4,8617,193,189,331,346,18.31,786.69325,121.78766,0.2556,0.2746
M7H5-1,8524,213,262,348,329,17.98,774.810045,121.72215,0.2491,0.2683
M7H5-2,8524,225,250,340,337,17.58,773.335999,121.0349,0.2525,0.264
M7H5-3,8527,245,227,335,342,17.97,771.511675,122.76448,0.2825,0.2894
M7H5-4,8526,253,220,326,351,18.26,778.554967,120.93528,0.2779,0.2822
M7H6-1,8431,269,299,326,351,17.60,762.817471,121.24988,0.2497,0.286
M7H6-2,8427,281,291,334,343,16.56,767.702484,121.04267,0.2547,0.2657
M7H6-3,8426,304,269,327,350,17.58,763.075484,121.0964,0.2467,0.2624
M7H6-4,8432,277,290,335,342,17.95,769.004827,120.45219,0.2474,0.2548
M7H7-1,8330,358,311,341,336,16.55,755.271117,119.26784,0.2575,0.2627
M7H7-2,8332,318,349,350,327,16.54,749.64837,121.68133,0.2772,0.2854
M7H7-3,8337,344,318,338,339,16.35,761.809778,122.39323,0.29,0.296
M7H7-4,8337,325,337,344,333,15.99,746.474612,120.61398,0.2546,0.2842
M7H8-1,8240,375,384,338,339,15.45,752.442571,118.698,0.2644,0.2774
M7H8-2,8248,394,357,343,334,15.82,745.904023,119.46277,0.2876,0.2886
M7H8-3,8244,382,373,320,357,16.57,743.036773,118.20068,0.2749,0.2787
M7H8-4,8237,390,372,333,344,16.50,748.989051,117.67658,0.2602,0.2694
M7H9-1,8149,405,445,338,339,16.57,728.586586,120.06002,0.295,0.3018
M7H9-2,8152,428,419,347,330,15.44,734.041007,119.98466,0.294,0.2961
M7H9-3,8140,432,427,352,325,15.55,737.647558,118.77401,0.2952,0.3068
M7H9-4,8139,426,434,347,330,15.50,734.41873,117.97077,0.2644,0.298
M7H10-1,8051,498,450,349,328,15.10,727.6026,116.13976,0.275,0.278
M7H10-2,8053,509,437,330,347,15.24,721.279121,119.30759,0.2833,0.285
M7H10-3,8068,479,452,340,337,15.30,709.698926,119.10991,0.2962,0.3173
M7H10-4,8060,439,500,343,334,15.34,717.633733,120.24199,0.2875,0.2909
M8H1-1,8807,42,53,390,384,19.43,807.648708,125.64531,0.2469,0.2745
M8H1-2,8806,55,41,392,382,19.85,809.639504,125.59774,0.2395,0.2563
M8H1-3,8806,52,44,370,404,20.00,807.981495,125.49747,0.2426,0.2555
M8H1-4,8806,47,49,419,355,19.99,813.26073,126.02335,0.2412,0.2527
M8H2-1,8710,92,100,378,396,18.89,800.395319,124.27707,0.246,0.2539
M8H2-2,8709,78,115,386,388,18.91,800.315487,124.00316,0.2419,0.2544
M8H2-3,8712,88,102,388,386,18.56,795.807759,123.99841,0.2454,0.2649
M8H2-4,8710,82,110,391,383,18.77,802.531478,122.56031,0.2364,0.2468
M8H3-1,8614,158,130,389,385,18.25,782.59802,122.39292,0.246,0.2589
M8H3-2,8614,139,149,392,382,18.94,795.41041,123.27911,0.2596,0.2619
M8H3-3,8612,139,151,389,385,18.38,793.129892,122.88559,0.2442,0.2782
M8H3-4,8615,150,137,380,394,17.66,789.28173,123.03358,0.2452,0.2682
M8H4-1,8517,191,194,403,371,17.55,782.046814,120.09384,0.2425,0.2474
M8H4-2,8519,193,190,388,386,17.26,778.110939,122.1273,0.2903,0.2924
M8H4-3,8521,202,179,378,396,17.63,779.295457,121.15427,0.2679,0.2695
M8H4-4,8523,190,189,364,410,18.07,781.918289,120.87065,0.2808,0.2869
M8H5-1,8428,241,233,383,391,16.35,766.880112,120.68702,0.2595,0.2691
M8H5-2,8426,241,235,377,397,16.60,768.744688,120.67369,0.245,0.2713
M8H5-3,8427,232,243,404,370,17.28,763.751243,119.44577,0.2504,0.2572
M8H5-4,8427,257,218,397,377,16.85,763.948081,120.73061,0.2512,0.2534
M8H6-1,8327,292,283,378,396,16.59,754.252298,119.45752,0.2584,0.2899
M8H6-2,8334,272,296,393,381,16.39,756.450923,118.87766,0.2557,0.2655
M8H6-3,8330,283,289,374,400,16.21,755.828206,119.1982,0.2592,0.263
M8H6-4,8334,283,285,402,372,15.98,756.666037,119.62363,0.2617,0.2711
M8H7-1,8236,329,337,408,366,15.76,737.206793,117.73542,0.2496,0.2649
M8H7-2,8238,327,337,394,380,15.75,742.398102,118.945,0.2605,0.2778
M8H7-3,8240,335,327,401,373,15.64,745.673922,119.409,0.2679,0.2866
M8H7-4,8237,339,326,395,379,15.54,751.276408,118.37025,0.26,0.2868
M8H8-1,8140,372,390,382,392,16.01,731.485598,118.6086,0.2654,0.2768
M8H8-2,8141,380,381,391,383,15.61,726.341176,118.93714,0.2725,0.2842
M8H8-3,8142,389,371,374,400,15.14,737.398815,118.40071,0.2798,0.2901
M8H8-4,8154,360,388,409,365,15.53,743.473273,119.28989,0.2923,0.3021
M8H9-1,8055,431,416,382,392,15.15,723.721596,118.11618,0.2631,0.2941
M8H9-2,8061,430,411,403,371,15.07,716.204978,117.6281,0.2792,0.2881
M8H9-3,8056,426,420,414,360,15.16,726.368816,116.7143,0.264,0.2652
M8H9-4,8044,417,441,372,402,14.37,719.357227,119.6823,0.2907,0.2997
M8H10-1,7958,472,472,384,390,14.35,723.802865,118.35822,0.3074,0.3091
M8H10-2,7952,485,465,404,370,14.83,711.764937,118.43216,0.3111,0.3151
M8H10-3,7972,479,451,378,396,14.29,715.667017,116.76914,0.2792,0.2829
M8H10-4,7958,477,467,392,382,14.14,712.148729,118.05213,0.2922,0.2949
M9H1-1,8710,48,48,440,430,18.61,805.109787,124.90858,0.2449,0.273
M9H1-2,8710,49,47,422,448,17.88,802.481617,123.6251,0.2543,0.2566
M9H1-3,8710,52,44,443,427,18.28,801.113855,124.9784,0.2522,0.2626
M9H1-4,8710,46,50,436,434,18.16,804.615578,124.38108,0.2507,0.2538
M9H2-1,8614,100,92,429,441,17.50,784.382592,123.62564,0.2445,0.2619
M9H2-2,8613,97,96,434,436,17.02,787.213572,122.28981,0.2396,0.2484
