Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),# of ethyl (top),# of ethyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E2H9-4,8634,407,442,0,0,95,98,21.67979992,783.454356,122.32071,0.246,0.2526
E2H10-1,8540,465,478,0,0,88,105,20.87232233,767.250862,120.98592,0.2453,0.2542
E2H10-2,8542,457,484,0,0,93,100,21.652335,769.56628,120.82619,0.2518,0.2699
E2H10-3,8541,479,463,0,0,99,94,21.1916224,774.762072,121.28191,0.2486,0.2756
E2H10-4,8539,480,464,0,0,90,103,20.33334066,770.263411,122.46437,0.2874,0.2924
E3H1-1,9290,41,55,0,0,143,147,29.86251827,858.505127,134.39474,0.2413,0.2636
E3H1-2,9290,46,50,0,0,135,155,29.71851611,857.034135,133.43327,0.2401,0.2482
E3H1-3,9291,39,56,0,0,135,155,28.80807877,858.258258,134.51819,0.2444,0.2538
E3H1-4,9290,44,52,0,0,140,150,29.69315797,860.881603,133.93375,0.2422,0.2443
E3H2-1,9193,84,109,0,0,144,146,28.11593466,847.550306,131.59327,0.2432,0.2532
E3H2-2,9194,93,99,0,0,142,148,28.98942224,848.117531,130.4719,0.2392,0.2509
E3H2-3,9193,99,94,0,0,133,157,27.52585134,847.396364,130.59134,0.2409,0.2495
E3H2-4,9194,101,91,0,0,142,148,27.98658532,845.642616,132.10142,0.2532,0.2539
E3H3-1,9098,140,148,0,0,148,142,25.66913266,834.997888,130.70825,0.243,0.2511
E3H3-2,9099,159,128,0,0,130,160,25.16431933,836.881803,127.99844,0.2395,0.2455
E3H3-3,9097,138,151,0,0,137,153,25.80686014,839.644545,129.06949,0.2402,0.2451
E3H3-4,9099,144,143,0,0,143,147,25.62426532,836.733195,128.91017,0.2409,0.254
E3H4-1,9002,188,196,0,0,148,142,24.00969435,825.656938,126.92016,0.2399,0.2519
E3H4-2,9005,190,191,0,0,143,147,24.88155417,822.295165,127.81165,0.2419,0.2529
E3H4-3,9008,191,187,0,0,145,145,25.0955399,824.845985,129.64424,0.2468,0.254
E3H4-4,9003,178,205,0,0,141,149,24.78245308,821.907078,128.88155,0.2461,0.2528
E3H5-1,8910,240,236,0,0,146,144,23.66545697,816.925916,125.82871,0.243,0.2485
E3H5-2,8907,252,227,0,0,153,137,23.29028281,814.517508,125.02833,0.2426,0.253
E3H5-3,8907,244,235,0,0,146,144,23.39436055,813.92242,126.96149,0.2419,0.2659
E3H5-4,8911,237,238,0,0,152,138,23.75645779,806.459378,126.41855,0.2441,0.2642
E3H6-1,8816,283,287,0,0,150,140,22.71117585,801.01219,126.20571,0.2616,0.2702
E3H6-2,8814,266,306,0,0,156,134,23.32370689,807.22896,123.89225,0.2399,0.2507
E3H6-3,8823,276,287,0,0,147,143,22.00249906,804.464956,125.14145,0.2574,0.2693
E3H6-4,8816,287,283,0,0,159,131,22.34960212,803.323542,125.28613,0.2481,0.2593
E3H7-1,8719,335,332,0,0,150,140,21.75697181,792.255927,123.45716,0.2452,0.254
E3H7-2,8713,362,311,0,0,138,152,21.35109434,784.585815,123.93291,0.2662,0.2745
E3H7-3,8723,340,323,0,0,131,159,21.68124544,790.602369,123.71614,0.2506,0.2619
E3H7-4,8723,318,345,0,0,151,139,21.56608184,784.972627,124.5695,0.2527,0.2551
E3H8-1,8627,399,360,0,0,138,152,21.08181855,781.520118,123.66699,0.2675,0.2758
E3H8-2,8623,376,387,0,0,149,141,20.44498925,773.991674,122.91131,0.2576,0.2616
E3H8-3,8627,377,382,0,0,145,145,20.21198505,773.714126,122.6621,0.2566,0.26
E3H8-4,8625,369,392,0,0,143,147,20.57311778,779.839902,124.13951,0.2726,0.2761
E3H9-1,8537,409,440,0,0,138,152,19.07999594,774.606508,121.19609,0.2489,0.2769
E3H9-2,8530,429,427,0,0,139,151,19.23397066,768.221145,120.69025,0.2625,0.2709
E3H9-3,8535,409,442,0,0,141,149,19.44479256,764.145807,121.8789,0.2575,0.2797
E3H9-4,8533,411,442,0,0,141,149,19.7577114,761.672923,120.93566,0.2436,0.258
E3H10-1,8453,460,473,0,0,141,149,18.88458779,757.784595,121.85445,0.2711,0.274
E3H10-2,8444,471,471,0,0,139,151,19.34967992,755.636696,120.83787,0.254,0.2679
E3H10-3,8449,454,483,0,0,136,154,19.20427513,761.65778,123.08038,0.266,0.2713
E3H10-4,8442,475,469,0,0,152,138,17.89629766,749.149886,120.64484,0.2549,0.259
E4H1-1,9193,48,48,0,0,188,199,26.76795761,849.634794,131.3827,0.2412,0.2478
E4H1-2,9193,48,48,0,0,204,183,26.93776063,848.720033,132.87634,0.2452,0.2543
E4H1-3,9193,43,53,0,0,188,199,25.76447521,847.569323,133.19456,0.2444,0.2506
E4H1-4,9193,58,38,0,0,185,202,25.62980472,844.373709,132.12353,0.2436,0.2489
E4H2-1,9097,104,88,0,0,185,202,24.68156675,835.912175,129.2163,0.2435,0.2463
E4H2-2,9097,99,93,0,0,188,199,25.03444936,833.209269,130.50141,0.2458,0.2488
E4H2-3,9097,94,98,0,0,201,186,25.27506044,836.693524,130.39701,0.2474,0.2521
E4H2-4,9099,96,94,0,0,166,221,23.87108215,833.229736,128.59107,0.2389,0.249
E4H3-1,9000,146,143,0,0,178,209,23.55192978,823.464086,127.68346,0.2493,0.2539
E4H3-2,9001,136,152,0,0,206,181,22.75372027,827.551197,129.827,0.2463,0.2578
E4H3-3,9003,151,135,0,0,201,186,24.03194157,822.178355,128.89249,0.2411,0.2538
E4H3-4,9001,141,147,0,0,218,169,23.05498948,826.554794,128.94184,0.2444,0.2532
E4H4-1,8908,172,209,0,0,196,191,22.08347397,817.702155,127.00028,0.2494,0.2543
E4H4-2,8905,187,197,0,0,193,194,22.23620677,815.031736,127.1453,0.2431,0.2515
E4H4-3,8903,190,196,0,0,183,204,22.52616205,808.794589,126.53785,0.2453,0.2517
E4H4-4,8904,195,190,0,0,210,177,22.31889471,817.542532,126.69102,0.2431,0.2605
E4H5-1,8809,238,242,0,0,198,189,20.61466899,805.299042,125.95762,0.2429,0.267
E4H5-2,8809,230,250,0,0,203,184,21.3142626,804.074621,126.06748,0.2458,0.2511
E4H5-3,8811,231,247,0,0,197,190,20.37452456,801.768355,125.38645,0.2424,0.2478
E4H5-4,8815,250,224,0,0,192,195,21.1035255,797.895239,125.88965,0.2409,0.2669
E4H6-1,8717,281,291,0,0,189,198,19.89569851,786.017926,124.11395,0.2581,0.2703
E4H6-2,8721,290,278,0,0,194,193,20.79347871,793.421166,124.79916,0.2455,0.2615
E4H6-3,8716,298,275,0,0,187,200,20.32179409,791.567831,123.31084,0.2416,0.2501
E4H6-4,8715,301,273,0,0,180,207,19.88920723,787.346203,122.12171,0.2415,0.2667
